userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
81303: (480,2.8849425315856934) (260,2.8293919563293457) (1196,2.8073318004608154) (2571,2.7987277507781982) (589,2.768075704574585) (1580,2.7548933029174805) (2858,2.7251315116882324) (2916,2.723999500274658) (1270,2.645941734313965) (2762,2.597365379333496) (1197,2.546630620956421) (2716,2.54166841506958) (1240,2.5367379188537598) (3578,2.510267972946167) (1097,2.4874320030212402) (1127,2.4589591026306152) (593,2.453030586242676) (1214,2.4510841369628906) (457,2.4202146530151367) (1200,2.4144790172576904)
79880: (2858,3.5729892253875732)* (1197,3.3268678188323975)* (2716,3.2912354469299316)* (1198,3.290656089782715)* (1214,3.1859216690063477)* (1127,3.1636555194854736) (608,3.140951633453369) (296,3.0866336822509766)* (377,3.0787200927734375)* (2396,3.0630125999450684)* (1291,3.007021188735962)* (2355,2.9994335174560547) (2997,2.9098615646362305)* (2699,2.893306255340576)* (2797,2.852755546569824) (1387,2.8498969078063965)* (50,2.8431224822998047)* (380,2.8420915603637695)* (3114,2.809581756591797) (1584,2.7913455963134766)
80346: (480,2.79947829246521) (2628,2.695854902267456)* (589,2.672877311706543)* (2916,2.6591203212738037)* (2858,2.5859227180480957)* (1270,2.5375938415527344) (2762,2.485064744949341) (2716,2.4602270126342773) (1240,2.4454731941223145) (1197,2.4334068298339844) (780,2.4267325401306152)* (356,2.4009456634521484) (1127,2.3919239044189453)* (1214,2.358092784881592)* (1,2.3547308444976807) (457,2.336082935333252)* (377,2.3348164558410645) (1200,2.3310980796813965) (648,2.292670249938965)* (1265,2.269298553466797)
82400: (1196,1.9613202810287476) (260,1.9346563816070557) (593,1.9096742868423462)* (318,1.8552281856536865) (527,1.8519699573516846) (2396,1.8377727270126343) (1210,1.831661343574524) (1193,1.8182892799377441) (2997,1.7980376482009888)* (1197,1.783001184463501) (1270,1.7819486856460571)* (2762,1.7692173719406128) (1265,1.7678720951080322) (912,1.7633986473083496)* (34,1.752956748008728) (1304,1.7509424686431885) (1097,1.7502713203430176) (1230,1.7421348094940186)* (1307,1.7282094955444336) (1094,1.715730905532837)
80018: (593,2.475466251373291)* (1210,2.4667599201202393) (1198,2.4044697284698486)* (1270,2.3784894943237305)* (1265,2.3166708946228027) (1097,2.3164877891540527) (480,2.273759365081787) (2571,2.272658348083496) (110,2.2477917671203613) (356,2.2395293712615967) (1259,2.2381558418273926) (1307,2.179351329803467) (1,2.169795513153076) (1304,2.153421640396118) (1225,2.143425941467285) (1580,2.1391539573669434) (912,2.137352466583252)* (2716,2.1105294227600098) (590,2.110323429107666) (2791,2.08217716217041)
82414: (356,2.582925796508789)* (1240,2.564870834350586)* (1265,2.5243914127349854)* (3578,2.503774881362915)* (527,2.4316816329956055)* (858,2.431098699569702) (2987,2.4163546562194824)* (1259,2.359618663787842) (1291,2.355637788772583) (1610,2.3289856910705566) (2000,2.3174002170562744) (1387,2.283646583557129) (592,2.253169536590576) (3175,2.2521302700042725)* (1968,2.2395384311676025)* (924,2.2386789321899414) (34,2.2363452911376953) (919,2.1967716217041016) (1374,2.184399127960205) (1923,2.170586585998535)*
82363: (1196,3.015517473220825) (480,3.006408214569092) (2858,2.9568514823913574) (1580,2.8632705211639404) (2628,2.849477529525757) (1270,2.821280002593994) (2916,2.8063979148864746) (2762,2.7763307094573975) (110,2.7609519958496094) (2028,2.750368595123291) (1197,2.7332987785339355) (1198,2.7139320373535156) (593,2.6725029945373535) (1097,2.6718087196350098) (2716,2.6695337295532227) (356,2.665001392364502) (608,2.6321299076080322) (3578,2.6164257526397705) (1,2.605290412902832) (1214,2.6005446910858154)*
83966: (1196,2.655437469482422) (260,2.6400623321533203) (608,2.5795483589172363) (1270,2.456298351287842) (1198,2.446864128112793) (2762,2.4353280067443848) (1197,2.4259133338928223)* (480,2.422964096069336) (589,2.4207065105438232) (296,2.4135489463806152) (2571,2.4035351276397705) (2396,2.3992292881011963)* (858,2.3735337257385254)* (1097,2.372927665710449) (2028,2.3722176551818848) (318,2.372065544128418) (527,2.371621608734131) (1265,2.358518600463867)* (110,2.3454415798187256) (1580,2.2933855056762695)
84348: (2858,2.5746030807495117) (608,2.4640560150146484) (1198,2.3310434818267822) (2762,2.3119423389434814)* (1617,2.298814058303833) (296,2.298147678375244) (589,2.295156478881836) (480,2.294114112854004) (527,2.262458086013794) (858,2.262354612350464) (318,2.2603237628936768) (1097,2.257319450378418)* (2028,2.2493114471435547) (1265,2.241450786590576)* (110,2.225491762161255) (2997,2.206890106201172) (541,2.1793951988220215) (1580,2.1676526069641113) (50,2.1521549224853516) (1259,2.1471807956695557)
79856: (1210,3.268378734588623)* (1196,3.23468279838562)* (2628,3.1561195850372314)* (2858,3.1523752212524414)* (2916,3.1112654209136963)* (1270,3.052272319793701) (1198,2.9055161476135254)* (356,2.8876242637634277) (1127,2.816424608230591)* (1265,2.7647109031677246)* (608,2.7583272457122803)* (296,2.7200448513031006)* (2355,2.672492027282715)* (2000,2.6435623168945312)* (3175,2.602606773376465) (733,2.6004230976104736)* (2797,2.524456262588501)* (2683,2.462526321411133)* (2791,2.446930408477783) (2706,2.420502185821533)
83855: (480,2.813408851623535)* (1210,2.7788329124450684)* (1196,2.7483606338500977)* (589,2.704057455062866)* (1580,2.687037944793701)* (2858,2.6744229793548584)* (1270,2.5943939685821533)* (1240,2.4813411235809326)* (3578,2.4537806510925293)* (1,2.402085304260254) (1200,2.3597841262817383)* (2987,2.301704168319702)* (1610,2.288217782974243)* (2396,2.2823894023895264)* (2355,2.2740960121154785) (2699,2.2284328937530518)* (733,2.2204437255859375)* (527,2.194403648376465) (858,2.1898746490478516)* (318,2.181824207305908)
85103: (480,1.8077104091644287)* (260,1.7995266914367676) (1210,1.7991344928741455) (1196,1.7883613109588623) (2571,1.7582271099090576) (589,1.7463979721069336) (1580,1.7262873649597168) (2628,1.721203088760376) (2916,1.696699857711792) (1270,1.6843441724777222) (2762,1.6551291942596436)* (110,1.6518054008483887) (2028,1.6461586952209473) (1197,1.6274242401123047) (1198,1.6104953289031982) (2716,1.605646014213562) (1240,1.602428913116455) (356,1.5943925380706787) (1097,1.5884188413619995) (593,1.5841424465179443)
83335: (480,2.1968023777008057) (260,2.1898193359375) (1210,2.1880862712860107) (2571,2.135070562362671) (589,2.1232433319091797) (2628,2.0887272357940674) (2916,2.0559630393981934) (1270,2.0551881790161133) (2762,2.0231380462646484) (110,2.012261152267456) (2028,2.0087637901306152) (1197,1.9901130199432373) (1198,1.965157151222229) (2716,1.9560092687606812) (1240,1.9485656023025513) (593,1.943113923072815)* (3578,1.9281353950500488) (1,1.9035855531692505) (1214,1.8933625221252441) (1127,1.8704664707183838)
